Major Name,Cluster ID
Anthropology Archaeology Concentration B.S.,1
Anthropology Biological Anthropology Concentration B.S.,1
Anthropology Cross-Disciplinary Anthropology Concentration B.S.,1
Anthropology Linguistic Anthropology Concentration B.S.,1
Anthropology Sociocultural Anthropology Concentration B.S.,1
Native American Studies B.A.,1
Political Science B.A.,2
Political Science Global Politics Concentration B.A.,2
Political Science Law And Policy Concentration B.A.,2
Political Science Politics Of Environment And Sustainability Concentration B.A.,2
History B.A.,3
History Education Concentration B.A.,3
International Studies Chinese Studies Concentration B.A.,4
International Studies Development Studies Concentration B.A.,4
International Studies European Studies Concentration B.A.,4
International Studies Global Cultural Studies Concentration B.A.,4
International Studies Latin American Studies Concentration B.A.,4
Child Development And Family Relationships Child And Family Services Concentration B.A.,5
Child Development And Family Relationships Specialized Studies Concentration B.A.,5
Child Development And Family Relationships Teaching Concentration B.A.,5
Liberal Studies Child Development   Elementary Education Concentration B.A.,6
Liberal Studies Child Development Special Education Itep Concentration B.A.,6
Liberal Studies Elementary Education Concentration B.A.,6
Liberal Studies Elementary Education Itep Concentration B.A.,6
Music Applied Music Concentration B.A.,7
Music Music Education Pre-Credential Concentration B.A.,7
Music Music Studies Concentration B.A.,7
Art Art Education Concentration B.A.,8
Art Art Studio Concentration B.A.,8
Art History And Museum Studies B.A.,8
Fine Art B.F.A.,8
Journalism Media Studies Concentration B.A.,9
Journalism News Concentration B.A.,9
Journalism Public Relations Concentration B.A.,9
Communication B.A.,10
Interdisciplinary Studies Individualized Degree Plan Concentration B.A.,10
Leadership Studies B.A.,10
Nursing Rn To Bsn Concentration B.S.,10
Recreation Administration B.A.,10
Dance B.A.,11
Film B.A.,11
Theatre Arts B.A.,11
Critical Race Gender And Sexuality Studies B.A.,12
English B.A.,12
English English Education Concentration B.A.,12
French And Francophone Studies B.A.,12
Philosophy B.A.,12
Religious Studies B.A.,12
Spanish B.A.,12
Biochemistry B.S.,13
Chemistry B.A.,13
Chemistry B.S.,13
Oceanography B.S.,13
Physical Science B.A.,13
Physics Astronomy Concentration B.S.,13
Physics B.S.,13
Fisheries Biology Aquaculture Concentration B.S.,14
Fisheries Biology Freshwater Fisheries Concentration B.S.,14
Fisheries Biology Marine Fisheries Concentration B.S.,14
Biology Cellular Molecular Biology Concentration B.S.,15
Biology Ecology Concentration B.S.,15
Biology General Biology Concentration B.S.,15
Biology Microbiology Concentration B.S.,15
Biology Science Education Concentration B.S.,15
Botany B.S.,15
Marine Biology B.S.,15
Zoology B.S.,15
Forestry Fire Management Concentration B.S.,16
Forestry Forest Hydrology Concentration B.S.,16
Forestry Forest Operations Concentration B.S.,16
Forestry Forest Restoration Concentration B.S.,16
Forestry Forest Soils Concentration B.S.,16
Forestry Tribal Forestry Concentration B.S.,16
Environmental Studies B.A.,17
Geography B.A.,17
Geospatial Science And Technology Environmental Science And Management Concentration B.S.,17
Geospatial Science And Technology Social Science Concentration B.S.,17
Applied Fire Science And Management B.S.,18
Cannabis Studies Environmental Stewardship Concentration B.A.,18
Environmental Science And Management Ecological Restoration Concentration B.S.,18
Environmental Science And Management Energy And Climate Concentration B.S.,18
Environmental Science And Management Environmental Education And Interpretation Concentration B.S.,18
Environmental Science And Management Environmental Planning And Policy B.S.,18
Environmental Science And Management Geospatial Science Concentration B.S.,18
Rangeland Resource Science B.S.,18
Rangeland Resource Science Wildland Soil Science Concentration B.S.,18
Wildlife Wildlife Ecology Conservation And Management Concentration B.S.,18
Business Administration Accounting Concentration B.S.,19
Business Administration Economics Concentration B.S.,19
Business Administration Finance Concentration B.S.,19
Business Administration Management And Entrepreneurship Concentration B.S.,19
Business Administration Marketing Concentration B.S.,19
Kinesiology Exercise Science Concentration B.S.,20
Kinesiology Health Promotion Concentration B.S.,20
Kinesiology Physical Education Teaching Concentration B.S.,20
Kinesiology Pre-Health Professions Concentration B.S.,20
Geology B.S.,21
Geology Geosciences Concentration B.A.,21
Cannabis Studies Policy Stewardship Concentration B.A.,22
Criminology And Justice Studies B.A.,22
Psychology B.A.,22
Social Work B.A.,22
Sociology B.A.,22
Energy Systems Engineering B.S.,23
Environmental Resources Engineering B.S.,23
Mechanical Engineering B.S.,23
Computer Science B.S.,24
Data Science B.S.,24
Economics B.A.,24
Mathematics B.A.,24
Software Engineering B.S.,24
